CalendarName,EventTitle,StartDate,StartTime,EndDate,EndTime,Duration,StartTimeZone
ABOG San Diego,SD Cyber Patrol,8/23/19,7:30 PM,8/23/19,10:30 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT 4,8/26/19,4:00 PM,8/26/19,6:00 PM,120,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 2,8/27/19,4:00 PM,8/27/19,6:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT ALL-TEAM,8/28/19,2:00 PM,8/28/19,6:30 PM,270,America/Los_Angeles
ABOG Portland,PDX Team 2,8/28/19,7:00 PM,8/28/19,10:00 PM,180,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,8/29/19,7:00 PM,8/29/19,10:00 PM,180,America/Los_Angeles
ABOG Kansas City,KC South Patrol,8/30/19,5:00 PM,8/30/19,7:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 1,9/3/19,4:00 PM,9/3/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 5,9/3/19,7:00 PM,9/3/19,9:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 3,9/3/19,8:00 PM,9/3/19,10:00 PM,120,America/Los_Angeles
ABOG SeattleTacoma,Call: ABOG Seattle/Tacoma,9/4/19,10:00 AM,9/4/19,11:00 AM,60,America/Los_Angeles
ABOG Anchorage,Soldotna Patrol,9/5/19,7:00 PM,9/5/19,10:00 PM,180,America/Los_Angeles
ABOG Portland,Portland Team 1,9/11/19,6:30 PM,9/11/19,9:30 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT 6,9/12/19,4:00 PM,9/12/19,6:00 PM,120,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,9/12/19,7:00 PM,9/12/19,10:00 PM,180,America/Los_Angeles
ABOG Kansas City,The Big Search KC 2019 Update Meeting,9/13/19,7:00 AM,9/13/19,8:00 AM,60,America/Los_Angeles
ABOG Arizona,Tucson West,9/14/19,12:00 PM,9/14/19,4:00 PM,240,America/Los_Angeles
ABOG Arizona,Tucson East,9/14/19,4:00 PM,9/14/19,6:30 PM,150,America/Los_Angeles
ABOG Arizona,Tucson East,9/14/19,5:00 PM,9/14/19,9:00 PM,240,America/Los_Angeles
ABOG Detroit,DETROIT 7 ,9/17/19,4:00 PM,9/17/19,6:00 PM,120,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 1,9/17/19,6:00 PM,9/17/19,8:00 PM,120,America/Los_Angeles
ABOG Portland,EPIK Patrol Demo (lunch provided),9/18/19,12:15 PM,9/18/19,2:15 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 4 Patrol,9/18/19,7:00 PM,9/18/19,10:00 PM,180,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 2,9/19/19,4:00 PM,9/19/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 3,9/19/19,7:00 PM,9/19/19,10:00 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT 4,9/23/19,8:00 PM,9/23/19,10:00 PM,120,America/Los_Angeles
ABOG Anchorage,Homer Patrol,9/23/19,8:00 PM,9/23/19,10:00 PM,120,America/Los_Angeles
ABOG Portland,PDX Team 8 Patrol,9/24/19,6:30 PM,9/24/19,9:30 PM,180,America/Los_Angeles
ABOG Portland,Portland  Team 2,9/25/19,7:00 PM,9/25/19,10:00 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT ALL-TEAM,9/26/19,2:30 PM,9/26/19,6:00 PM,210,America/Los_Angeles
ABOG Houston,CEASE Houston Patrol,9/26/19,4:00 PM,9/26/19,6:00 PM,120,America/Los_Angeles
ABOG North Texas,North Texas Patrol,9/26/19,4:00 PM,9/26/19,6:00 PM,120,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,9/26/19,7:00 PM,9/26/19,10:00 PM,180,America/Los_Angeles
ABOG Arizona,Phoenix,9/27/19,4:00 PM,9/27/19,7:00 PM,180,America/Los_Angeles
ABOG Kansas City,KC North Patrol,9/27/19,7:00 PM,9/27/19,10:00 PM,180,America/Los_Angeles
ABOG Kansas City,Kansas City Cyber Patrol,9/28/19,5:00 PM,9/28/19,8:00 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT 6,10/1/19,4:00 PM,10/1/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 1,10/3/19,6:30 PM,10/3/19,9:00 PM,150,America/Los_Angeles
ABOG Detroit,DETROIT 7,10/3/19,7:30 PM,10/3/19,9:30 PM,120,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 1,10/8/19,4:00 PM,10/8/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 5 Patrol ,10/8/19,7:00 PM,10/8/19,9:00 PM,120,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,10/10/19,7:00 PM,10/10/19,10:00 PM,180,America/Los_Angeles
ABOG Arizona,Tucson West,10/12/19,12:00 PM,10/12/19,4:00 PM,240,America/Los_Angeles
ABOG Arizona,Tucson East,10/12/19,4:00 PM,10/12/19,6:30 PM,150,America/Los_Angeles
ABOG Arizona,Tucson East,10/12/19,5:00 PM,10/12/19,9:00 PM,240,America/Los_Angeles
ABOG Detroit,DETROIT 1,10/15/19,4:00 PM,10/15/19,6:00 PM,120,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW1,10/15/19,4:00 PM,10/15/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 3,10/17/19,7:00 PM,10/17/19,10:00 PM,180,America/Los_Angeles
ABOG Arizona,Phoenix,10/18/19,4:00 PM,10/18/19,8:00 PM,240,America/Los_Angeles
ABOG Kansas City,KC North Team,10/19/19,7:00 PM,10/19/19,10:00 PM,180,America/Los_Angeles
ABOG Portland,PDX Team 8 Patrol,10/22/19,6:30 PM,10/22/19,9:30 PM,180,America/Los_Angeles
ABOG Portland,EPIK PDX Team 2 Patrol,10/23/19,7:00 PM,10/23/19,9:30 PM,150,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,10/24/19,7:00 PM,10/24/19,10:00 PM,180,America/Los_Angeles
ABOG Kansas City,KC North Team,10/25/19,7:00 PM,10/25/19,10:00 PM,180,America/Los_Angeles
ABOG Houston,HOUSTON PATROL,10/26/19,1:00 PM,10/26/19,3:00 PM,120,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 2,10/29/19,4:00 PM,10/29/19,6:00 PM,120,America/Los_Angeles
ABOG Kansas City,Kansas City Patrol,10/29/19,6:00 PM,10/29/19,8:00 PM,120,America/Los_Angeles
ABOG San Diego,ABOG San Diego,10/30/19,7:00 PM,10/30/19,10:30 PM,210,America/Los_Angeles
ABOG Houston,CEASE Georgetown Training/Cyber Patrol ,11/1/19,10:00 AM,11/1/19,3:00 PM,300,America/Los_Angeles
ABOG Detroit,DETROIT 3,11/4/19,8:00 PM,11/4/19,10:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 1,11/5/19,4:00 PM,11/5/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 5,11/5/19,7:00 PM,11/5/19,9:00 PM,120,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,11/7/19,7:00 PM,11/7/19,10:00 PM,180,America/Los_Angeles
ABOG Arizona,Tucson West,11/9/19,11:00 AM,11/9/19,3:00 PM,240,America/Los_Angeles
ABOG Arizona,Tucson East,11/9/19,4:00 PM,11/9/19,8:00 PM,240,America/Los_Angeles
ABOG Arizona,Tucson East,11/9/19,4:00 PM,11/9/19,6:30 PM,150,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 1,11/12/19,4:00 PM,11/12/19,6:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 7 ,11/12/19,6:00 PM,11/12/19,8:00 PM,120,America/Los_Angeles
ABOG Arizona,Sedona Training,11/13/19,12:00 PM,11/13/19,4:00 PM,240,America/Los_Angeles
ABOG Houston,HOUSTON PATROL,11/14/19,4:00 PM,11/14/19,6:00 PM,120,America/Los_Angeles
ABOG Arizona,Phoenix,11/15/19,3:00 PM,11/15/19,7:00 PM,240,America/Los_Angeles
ABOG Houston,Gerogetown/Austin Patrol,11/17/19,1:00 PM,11/17/19,3:00 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 4 patrol (Tentative),11/18/19,7:00 PM,11/18/19,10:00 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT 6,11/19/19,4:00 PM,11/19/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,PDX Team 8 Patrol,11/19/19,6:30 PM,11/19/19,9:30 PM,180,America/Los_Angeles
ABOG Portland,EPIK PDX Team 2 Patrol,11/20/19,7:00 PM,11/20/19,9:30 PM,150,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 3,11/21/19,4:00 PM,11/21/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 1,11/21/19,6:30 PM,11/21/19,8:30 PM,120,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,11/21/19,7:00 PM,11/21/19,10:00 PM,180,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 2,11/26/19,4:00 PM,11/26/19,6:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 6,12/3/19,4:00 PM,12/3/19,6:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 3,12/3/19,8:00 PM,12/3/19,10:00 PM,120,America/Los_Angeles
ABOG Houston,Georgetown/Austin Patrol,12/5/19,4:00 PM,12/5/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 1,12/5/19,6:30 PM,12/5/19,9:30 PM,180,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,12/5/19,7:00 PM,12/5/19,10:00 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT ALL TEAM Xmas,12/7/19,6:00 AM,12/7/19,12:00 PM,360,America/Los_Angeles
ABOG Houston,HOUSTON PATROL,12/7/19,1:00 PM,12/7/19,3:00 PM,120,America/Los_Angeles
ABOG Arizona,Sedona Team,12/9/19,11:00 AM,12/9/19,2:00 PM,180,America/Los_Angeles
ABOG Madison,Madison WI,12/9/19,5:00 PM,12/9/19,7:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 4,12/9/19,8:00 PM,12/9/19,10:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 1,12/11/19,4:00 PM,12/11/19,6:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 7,12/12/19,4:00 PM,12/12/19,6:00 PM,120,America/Los_Angeles
ABOG Arizona,Tucson West,12/14/19,11:00 AM,12/14/19,3:00 PM,240,America/Los_Angeles
ABOG Arizona,Tucson East,12/14/19,4:00 PM,12/14/19,8:00 PM,240,America/Los_Angeles
ABOG Arizona,Tucson East,12/14/19,4:00 PM,12/14/19,6:30 PM,150,America/Los_Angeles
ABOG Portland,PDX Team 8 Patrol,12/17/19,6:30 PM,12/17/19,9:30 PM,180,America/Los_Angeles
ABOG Portland,EPIK PDX Team 2 Patrol,12/18/19,7:00 PM,12/18/19,9:30 PM,150,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,12/19/19,7:00 PM,12/19/19,10:00 PM,180,America/Los_Angeles
ABOG Houston,San Antonio Training,12/20/19,10:00 AM,12/20/19,5:00 PM,420,America/Los_Angeles
