index,CalendarName,EventTitle,StartDate,StartTime,EndDate,EndTime,Duration
201,ABOG North Texas,North Texas Patrol - FW Team 1,2019-11-12,16:00:00,2019-11-12,18:00:00,120
202,ABOG Detroit,DETROIT 7 ,2019-11-12,18:00:00,2019-11-12,20:00:00,120
203,ABOG Arizona,Sedona Training,2019-11-13,12:00:00,2019-11-13,16:00:00,240
204,ABOG Houston,HOUSTON PATROL,2019-11-14,16:00:00,2019-11-14,18:00:00,120
205,ABOG Arizona,Phoenix,2019-11-15,15:00:00,2019-11-15,19:00:00,240
206,ABOG Houston,Gerogetown/Austin Patrol,2019-11-17,13:00:00,2019-11-17,15:00:00,120
207,ABOG Portland,Portland Team 4 patrol (Tentative),2019-11-18,19:00:00,2019-11-18,22:00:00,180
208,ABOG Detroit,DETROIT 6,2019-11-19,16:00:00,2019-11-19,18:00:00,120
209,ABOG Portland,PDX Team 8 Patrol,2019-11-19,18:30:00,2019-11-19,21:30:00,180
210,ABOG Portland,EPIK PDX Team 2 Patrol,2019-11-20,19:00:00,2019-11-20,21:30:00,150
211,ABOG North Texas,North Texas Patrol - FW Team 3,2019-11-21,16:00:00,2019-11-21,18:00:00,120
212,ABOG Portland,Portland Team 1,2019-11-21,18:30:00,2019-11-21,20:30:00,120
213,ABOG Anchorage,Anchorage Priceless Patrols,2019-11-21,19:00:00,2019-11-21,22:00:00,180
214,ABOG North Texas,North Texas Patrol - FW Team 2,2019-11-26,16:00:00,2019-11-26,18:00:00,120
215,ABOG Detroit,DETROIT 6,2019-12-03,16:00:00,2019-12-03,18:00:00,120
216,ABOG Detroit,DETROIT 3,2019-12-03,20:00:00,2019-12-03,22:00:00,120
217,ABOG Houston,Georgetown/Austin Patrol,2019-12-05,16:00:00,2019-12-05,18:00:00,120
218,ABOG Portland,Portland Team 1,2019-12-05,18:30:00,2019-12-05,21:30:00,180
219,ABOG Anchorage,Anchorage Priceless Patrols,2019-12-05,19:00:00,2019-12-05,22:00:00,180
220,ABOG Detroit,DETROIT ALL TEAM Xmas,2019-12-07,06:00:00,2019-12-07,12:00:00,360
221,ABOG Houston,HOUSTON PATROL,2019-12-07,13:00:00,2019-12-07,15:00:00,120
222,ABOG Arizona,Sedona Team,2019-12-09,11:00:00,2019-12-09,14:00:00,180
223,ABOG Madison,Madison WI,2019-12-09,17:00:00,2019-12-09,19:00:00,120
224,ABOG Detroit,DETROIT 4,2019-12-09,20:00:00,2019-12-09,22:00:00,120
225,ABOG Detroit,DETROIT 1,2019-12-11,16:00:00,2019-12-11,18:00:00,120
226,ABOG Detroit,DETROIT 7,2019-12-12,16:00:00,2019-12-12,18:00:00,120
227,ABOG Arizona,Tucson West,2019-12-14,11:00:00,2019-12-14,15:00:00,240
228,ABOG Arizona,Tucson East,2019-12-14,16:00:00,2019-12-14,20:00:00,240
229,ABOG Arizona,Tucson East,2019-12-14,16:00:00,2019-12-14,18:30:00,150
230,ABOG Portland,PDX Team 8 Patrol,2019-12-17,18:30:00,2019-12-17,21:30:00,180
231,ABOG Portland,EPIK PDX Team 2 Patrol,2019-12-18,19:00:00,2019-12-18,21:30:00,150
232,ABOG Anchorage,Anchorage Priceless Patrols,2019-12-19,19:00:00,2019-12-19,22:00:00,180
233,ABOG Houston,San Antonio Training,2019-12-20,10:00:00,2019-12-20,17:00:00,420
234,ABOG Arizona,Phoenix,2019-12-20,15:00:00,2019-12-20,19:00:00,240
235,ABOG Kansas City,Kansas City,2019-12-20,19:00:00,2019-12-20,22:00:00,180
